id,date,store_nbr,item_nbr,unit_sales,onpromotion,type_x,cluster,class,perishable,transactions,dcoilwtico,locale,locale_name,description,transferred,dayofweek,is_weekend,lag_7,rolling_7,promo_lag_interaction,family_BEAUTY,family_BEVERAGES,family_BREAD/BAKERY,family_CLEANING,family_DAIRY,family_DELI,family_EGGS,family_FROZEN FOODS,family_GROCERY I,family_GROCERY II,family_HARDWARE,family_HOME APPLIANCES,family_LAWN AND GARDEN,family_LINGERIE,"family_LIQUOR,WINE,BEER",family_MEATS,family_PERSONAL CARE,family_POULTRY,family_PREPARED FOODS,family_SEAFOOD,city_Babahoyo,city_Cayambe,city_Cuenca,city_Daule,city_El Carmen,city_Esmeraldas,city_Guaranda,city_Guayaquil,city_Ibarra,city_Latacunga,city_Loja,city_Machala,city_Playas,city_Quevedo,city_Quito,city_Riobamba,city_Salinas,city_Santo Domingo,state_Bolivar,state_Chimborazo,state_Cotopaxi,state_El Oro,state_Esmeraldas,state_Guayas,state_Imbabura,state_Loja,state_Los Rios,state_Manabi,state_Pichincha,state_Santa Elena,state_Santo Domingo de los Tsachilas,state_Tungurahua,type_y_Work Day
198176,2013-01-06,45,321798,6.0,0.0,A,11,3010,0,4418,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0061162079510703,0.0201066407323622,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
183591,2013-01-06,24,890371,10.0,0.0,D,1,1002,0,2061,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0061162079510703,0.0079287934205797,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
176408,2013-01-06,12,581742,2.0,0.0,C,15,1072,0,1271,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0152905198776758,0.0287326159115414,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
192811,2013-01-06,38,518091,11.0,0.0,D,4,1122,0,2522,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0412844036697247,0.0353289498720903,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
183967,2013-01-06,25,315474,9.0,0.0,D,1,2718,1,716,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0259938837920489,0.0490290280978456,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
172378,2013-01-06,8,208659,6.0,0.0,D,8,1078,0,2748,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0061162079510703,0.0185844098183893,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
186687,2013-01-06,28,514730,1.0,0.0,E,10,1056,0,1207,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0091743119266055,0.0135103067718133,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
181271,2013-01-06,19,165988,12.0,0.0,C,15,1072,0,1157,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0045871559633027,0.0525809002304488,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
165787,2013-01-06,2,268676,1.0,0.0,D,13,1062,0,1992,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0122324159021406,0.0261955643882534,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
180160,2013-01-06,17,939661,26.0,0.0,C,12,1045,0,1383,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.1024464831804281,0.1413777035455295,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
194430,2013-01-06,40,129759,3.0,0.0,C,3,1032,0,1023,93.12,National,Ecuador,Recupero puente Navidad,False,6,1,0.0015290519877675,0.0099584346392101,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
